uid,name,class_section,year,
421040,Chirag Sen,233,2021,
509660,Tiya Borah,685,2021,
968154,Krish Karpe,632,2023,
323745,Biju Bedi,268,2024,
611124,Nitara Vasa,311,2021,
344438,Zoya Subramaniam,643,2022,
765443,Kismat Barad,801,2023,
285148,Nishith Iyer,365,2023,
614894,Nakul Tata,700,2021,
493682,Hunar Dey,880,2023,
552766,Eva Ravel,838,2023,
721752,Shamik Dass,947,2024,
260836,Miraya Bhandari,694,2023,
972726,Emir Agrawal,785,2023,
849043,Advika Ramachandran,530,2021,
710444,Vivaan Thaman,142,2023,
994803,Prisha Grover,858,2022,
428028,Saira Goswami,630,2022,
536841,Jivika Bali,144,2024,
374294,Advika Sane,768,2021,
